IP;Port;State;Protocol;Service
10.0.0.8;21;closed;tcp;ftp
10.0.0.8;23;closed;tcp;telnet
10.0.0.8;25;closed;tcp;smtp
10.0.0.8;53;closed;tcp;domain
10.0.0.8;69;closed;tcp;tftp
10.0.0.8;80;closed;tcp;http
10.0.0.8;110;closed;tcp;pop3
10.0.0.8;111;closed;tcp;rpcbind
10.0.0.8;135;open;tcp;msrpc
10.0.0.8;139;open;tcp;netbios-ssn
10.0.0.8;143;closed;tcp;imap
10.0.0.8;161;closed;tcp;snmp
10.0.0.8;389;closed;tcp;ldap
10.0.0.8;445;open;tcp;microsoft-ds
10.0.0.8;512;closed;tcp;exec
10.0.0.8;513;closed;tcp;login
10.0.0.8;514;closed;tcp;shell
10.0.0.8;993;closed;tcp;imaps
10.0.0.8;995;closed;tcp;pop3s
10.0.0.8;1433;closed;tcp;ms-sql-s
10.0.0.8;1521;closed;tcp;oracle
10.0.0.8;2049;closed;tcp;nfs
10.0.0.8;3306;closed;tcp;mysql
10.0.0.8;3389;closed;tcp;ms-wbt-server
10.0.0.8;5432;closed;tcp;postgresql
10.0.0.8;5900;closed;tcp;vnc
10.0.0.8;6000;closed;tcp;X11
10.0.0.8;8080;closed;tcp;http-proxy
10.0.0.8;8443;closed;tcp;https-alt
10.0.0.8;8888;closed;tcp;sun-answerbook
